mode,nRows,nCols,nChannels,nCentroids,nIterations,time,timePerCycle,
seq,128,128,3,3,16,0.00656819,0.000410512,
seq,128,128,3,7,29,0.0213821,0.000737314,
seq,128,128,3,13,21,0.0258732,0.00123206,
seq,128,128,3,23,13,0.026334,0.0020257,
seq,642,646,3,3,11,0.08319,0.00756272,
seq,642,646,3,7,25,0.3754,0.015016,
seq,642,646,3,13,7,0.164316,0.0234737,
seq,642,646,3,23,14,0.636896,0.0454926,
seq,1080,1000,3,3,8,0.151464,0.018933,
seq,1080,1000,3,7,14,0.538612,0.0384723,
seq,1080,1000,3,13,17,1.12947,0.0664393,
seq,1080,1000,3,23,20,2.41482,0.120741,
seq,1440,1920,3,3,18,0.934795,0.0519331,
seq,1440,1920,3,7,24,2.42302,0.100959,
seq,1440,1920,3,13,34,6.04658,0.17784,
seq,1440,1920,3,23,13,3.89378,0.299522,
seq,1638,2048,3,3,6,0.361519,0.0602532,
seq,1638,2048,3,7,5,0.568022,0.113604,
seq,1638,2048,3,13,7,1.47084,0.21012,
seq,1638,2048,3,23,22,9.00709,0.409413,
seq,2250,4256,3,3,10,1.80186,0.180186,
seq,2250,4256,3,7,20,7.39263,0.369632,
seq,2250,4256,3,13,13,8.02234,0.617103,
seq,2250,4256,3,23,15,16.4287,1.09525,
omp,128,128,3,3,9,0.0392749,0.00436388,
omp,128,128,3,7,32,0.1335,0.00417187,
omp,128,128,3,13,21,0.0987179,0.00470085,
omp,128,128,3,23,20,0.0849271,0.00424635,
omp,642,646,3,3,10,0.0516419,0.00516419,
omp,642,646,3,7,14,0.0850401,0.00607429,
omp,642,646,3,13,13,0.0946,0.00727692,
omp,642,646,3,23,10,0.0922079,0.00922079,
omp,1080,1000,3,3,7,0.0436959,0.00624228,
omp,1080,1000,3,7,15,0.069834,0.0046556,
omp,1080,1000,3,13,9,0.052283,0.00580923,
omp,1080,1000,3,23,20,0.208141,0.0104071,
omp,1440,1920,3,3,7,0.0371871,0.00531244,
omp,1440,1920,3,7,17,0.155564,0.00915083,
omp,1440,1920,3,13,22,0.354099,0.0160954,
omp,1440,1920,3,23,21,0.569198,0.0271047,
omp,1638,2048,3,3,15,0.0970881,0.00647254,
omp,1638,2048,3,7,23,0.264404,0.0114958,
omp,1638,2048,3,13,15,0.289279,0.0192853,
omp,1638,2048,3,23,22,0.735485,0.0334311,
omp,2250,4256,3,3,9,0.142875,0.015875,
omp,2250,4256,3,7,20,0.629059,0.031453,
omp,2250,4256,3,13,7,0.356805,0.0509721,
omp,2250,4256,3,23,13,1.16388,0.0895295,
tbb,128,128,3,3,5,0.012038,0.0024076,
tbb,128,128,3,7,14,0.00349593,0.000249709,
tbb,128,128,3,13,16,0.00493383,0.000308365,
tbb,128,128,3,23,16,0.00481486,0.000300929,
tbb,642,646,3,3,8,0.0102191,0.00127739,
tbb,642,646,3,7,10,0.016077,0.0016077,
tbb,642,646,3,13,13,0.0325909,0.00250699,
tbb,642,646,3,23,14,0.0565779,0.00404128,
tbb,1080,1000,3,3,8,0.020298,0.00253725,
tbb,1080,1000,3,7,11,0.0418119,0.00380109,
tbb,1080,1000,3,13,9,0.0550439,0.00611599,
tbb,1080,1000,3,23,12,0.121377,0.0101147,
tbb,1440,1920,3,3,7,0.0371659,0.00530941,
tbb,1440,1920,3,7,29,0.271176,0.00935089,
tbb,1440,1920,3,13,26,0.409417,0.0157468,
tbb,1440,1920,3,23,28,0.73942,0.0264079,
tbb,1638,2048,3,3,5,0.0329418,0.00658836,
tbb,1638,2048,3,7,11,0.126824,0.0115295,
tbb,1638,2048,3,13,7,0.12867,0.0183814,
tbb,1638,2048,3,23,9,0.283116,0.0314573,
tbb,2250,4256,3,3,16,0.276926,0.0173079,
tbb,2250,4256,3,7,41,1.34123,0.0327128,
tbb,2250,4256,3,13,8,0.418842,0.0523553,
tbb,2250,4256,3,23,16,1.45571,0.0909821,
