Fichier,NX,NPI,Norme ||y||,Norme ||y2||,MPISpMV Time,SpMV Time,Acceleration,Efficiency
log-NX100-NPI1,100,1,349557,349557,5.7868e-05,5.7868e-05,1.0,1.0
log-NX200-NPI1,200,1,2,2,,,,
log-NX100-NPI2,100,2,349557,349557,3.1204e-05,3.1204e-05,1.0,0.5
log-NX200-NPI2,200,2,2,2,,,,
log-NX100-NPI4,100,4,349557,349557,1.6043e-05,1.6043e-05,1.0,0.25
log-NX200-NPI4,200,4,2,2,6.0853e-05,6.0853e-05,1.0,0.25
log-NX150-NPI8,150,8,1,1,1.9046e-05,1.9046e-05,1.0,0.125
log-NX50-NPI12,50,12,44092,44092,1.963e-06,1.963e-06,1.0,0.08333333333333333
log-NX150-NPI12,150,12,1,1,1.3273e-05,1.3273e-05,1.0,0.08333333333333333
log-NX50-NPI16,50,16,44092,44092,1.618e-06,1.618e-06,1.0,0.0625
log-NX150-NPI16,150,16,1,1,1.0443e-05,1.0443e-05,1.0,0.0625
log-NX50-NPI24,50,24,44092,44092,1.201e-06,1.201e-06,1.0,0.041666666666666664
log-NX150-NPI24,150,24,1,1,9.333e-06,9.333e-06,1.0,0.041666666666666664
log-NX50-NPI1,50,1,44092,44092,1.5219e-05,1.5219e-05,1.0,1.0
log-NX150-NPI1,150,1,1,1,,,,
log-NX50-NPI2,50,2,44092,44092,8.514e-06,8.514e-06,1.0,0.5
log-NX150-NPI2,150,2,1,1,7.0054e-05,7.0054e-05,1.0,0.5
log-NX50-NPI4,50,4,44092,44092,4.459e-06,4.459e-06,1.0,0.25
log-NX150-NPI4,150,4,1,1,3.4932e-05,3.4932e-05,1.0,0.25
log-NX50-NPI8,50,8,44092,44092,2.674e-06,2.674e-06,1.0,0.125
log-NX100-NPI8,100,8,349557,349557,8.991e-06,8.991e-06,1.0,0.125
log-NX200-NPI8,200,8,2,2,3.4292e-05,3.4292e-05,1.0,0.125
log-NX100-NPI12,100,12,349557,349557,6.056e-06,6.056e-06,1.0,0.08333333333333333
log-NX200-NPI12,200,12,2,2,2.2316e-05,2.2316e-05,1.0,0.08333333333333333
log-NX100-NPI16,100,16,349557,349557,5.359e-06,5.359e-06,1.0,0.0625
log-NX200-NPI16,200,16,2,2,2.0592e-05,2.0592e-05,1.0,0.0625
log-NX100-NPI24,100,24,349557,349557,3.443e-06,3.443e-06,1.0,0.041666666666666664
log-NX200-NPI24,200,24,2,2,1.7464e-05,1.7464e-05,1.0,0.041666666666666664
