0;0;1660.66
1;1;1684.16
2;1;897.927
4;1;481.369
8;1;276.707
12;1;202.784
16;1;167.884
24;1;136.624
1;2;1661.44
2;2;894.322
4;2;456.353
8;2;257.048
12;2;182.025
16;2;141.824
24;2;111.375
0;0;1658.59
1;1;1683.8
2;1;899.519
4;1;481.047
8;1;274.822
12;1;203.609
16;1;164.988
24;1;132.335
1;2;1660.19
2;2;890.488
4;2;456.418
8;2;256.112
12;2;181.426
16;2;141.752
24;2;103.347
0;0;1659.72
1;1;1680.03
2;1;899.303
4;1;483.228
8;1;276.261
12;1;206.572
16;1;168.005
24;1;140.896
1;2;1658.97
2;2;894.623
4;2;456.564
8;2;255.725
12;2;180.72
16;2;141.293
24;2;103.481
0;0;39740.1
1;1;39788
2;1;20062.6
4;1;10181.2
8;1;5666.06
12;1;3895.15
16;1;2996.03
24;1;2201.44
1;2;39778.6
2;2;20036.1
4;2;10188.5
8;2;5665.87
12;2;3870.88
16;2;2915.88
24;2;1999.81
0;0;39718.1
1;1;39639.4
2;1;20078.2
4;1;10174.1
8;1;5643.06
12;1;3896.28
16;1;3007.22
24;1;2238.25
1;2;39849.6
2;2;20082.6
4;2;10172.6
8;2;5624.61
12;2;3866.05
16;2;2921.66
24;2;2001.11
