1;50;0.00655985;0.0569871;0.115111
1;100;0.102379;0.882503;0.11601
1;150;0.523143;4.44104;0.117797
1;200;1.65014;16.0369;0.102897
2;50;0.00707723;0.0434103;0.163031
2;100;0.102578;0.688716;0.148941
2;150;0.522569;3.49607;0.149474
2;200;1.6466;12.5467;0.131238
4;50;0.00626093;0.0253282;0.247192
4;100;0.0964631;0.401418;0.240306
4;150;0.490335;2.01299;0.243585
4;200;1.5456;6.31918;0.244589
8;50;0.00694099;0.0182879;0.37954
8;100;0.106614;0.307821;0.34635
8;150;0.541218;1.5411;0.35119
8;200;1.70309;4.80738;0.354266
12;50;0.00694228;0.0169276;0.410117
12;100;0.109561;0.274539;0.399074
12;150;0.553557;1.37746;0.401867
12;200;1.7482;4.34247;0.402581
16;50;0.00682251;0.0167462;0.407406
16;100;0.109456;0.259779;0.421345
16;150;0.553239;1.30127;0.425151
16;200;1.74915;4.06755;0.430027
24;50;0.0119976;0.0153224;0.783012
24;100;0.109422;0.24529;0.446093
24;150;0.553428;1.25122;0.442312
24;200;1.74896;3.93296;0.444693
1;50;0.00670707;0.0595107;0.112704
1;100;0.102396;0.882664;0.116008
1;150;0.523453;4.45528;0.117491
1;200;1.64684;15.9836;0.103033
2;50;0.0063887;0.0420883;0.151793
2;100;0.09994;0.682766;0.146375
2;150;0.525576;3.48226;0.15093
2;200;1.64207;12.4991;0.131375
4;50;0.00663037;0.0252761;0.262317
4;100;0.096306;0.401753;0.239714
4;150;0.490939;2.02122;0.242892
4;200;1.56537;6.33784;0.246988
8;50;0.00674268;0.018053;0.373493
8;100;0.104094;0.305641;0.340576
8;150;0.527471;1.53429;0.343788
8;200;1.69315;4.7876;0.353653
12;50;0.00693282;0.0170135;0.40749
12;100;0.109531;0.274876;0.398474
12;150;0.54485;1.37425;0.396472
12;200;1.74926;4.35212;0.401933
16;50;0.00692562;0.0166957;0.414814
16;100;0.109579;0.259654;0.422018
16;150;0.553337;1.308;0.423041
16;200;1.75484;4.07064;0.431096
24;50;0.00693663;0.0154371;0.449348
24;100;0.109561;0.245396;0.446466
24;150;0.553713;1.25194;0.442283
24;200;1.74937;3.95678;0.442119
1;50;0.00685101;0.0567209;0.120785
1;100;0.102193;0.879695;0.116169
1;150;0.524218;4.45762;0.1176
1;200;1.61146;15.8225;0.101846
2;50;0.00674546;0.0427761;0.157692
2;100;0.102869;0.688948;0.149314
2;150;0.523403;3.48695;0.150104
2;200;1.64727;12.535;0.131414
4;50;0.00642035;0.0255329;0.251454
4;100;0.0962134;0.400607;0.240169
4;150;0.489279;2.01255;0.243114
4;200;1.55948;6.32656;0.246497
8;50;0.00678808;0.0184197;0.368524
8;100;0.106163;0.307613;0.345117
8;150;0.536794;1.54233;0.34804
8;200;1.70656;4.80782;0.354956
12;50;0.00689816;0.0169067;0.408013
12;100;0.109458;0.274702;0.398462
12;150;0.553258;1.37291;0.402982
12;200;1.75323;4.34861;0.40317
16;50;0.00692404;0.0167587;0.413161
16;100;0.109371;0.259796;0.420988
16;150;0.55314;1.30223;0.424763
16;200;1.74843;4.07409;0.429159
24;50;0.00685945;0.015355;0.446725
24;100;0.109355;0.245919;0.444677
24;150;0.553257;1.25164;0.442025
24;200;1.75008;3.97436;0.440343
1;50;0.0068695;0.0618593;0.11105
1;100;0.102459;0.881182;0.116274
1;150;0.523816;4.45499;0.11758
1;200;1.64935;16.0154;0.102985
2;50;0.00697626;0.0432225;0.161404
2;100;0.104161;0.697557;0.149322
2;150;0.530453;3.51266;0.151012
2;200;1.66271;12.6718;0.131213
4;50;0.00620827;0.0250649;0.247688
4;100;0.0962793;0.403007;0.238902
4;150;0.489649;2.02297;0.242045
4;200;1.54353;6.30881;0.244662
8;50;0.00692221;0.0185037;0.374099
8;100;0.108359;0.305665;0.354501
8;150;0.542124;1.55125;0.349475
8;200;1.72017;4.81788;0.357038
12;50;0.0069268;0.0169493;0.408678
12;100;0.109246;0.274514;0.397961
12;150;0.553298;1.37423;0.402625
12;200;1.7498;4.33959;0.403217
16;50;0.00693613;0.0166679;0.416137
16;100;0.109392;0.2597;0.421225
16;150;0.553315;1.29865;0.426068
16;200;1.74893;4.06975;0.429739
24;50;0.0169329;0.0155522;1.08878
24;100;0.109475;0.249268;0.439185
24;150;0.553381;1.25059;0.442496
24;200;1.74976;3.92976;0.445259
